pair,date,open,low,high,close
fx_susdaud,2014-11-07,1.16090,1.15490,1.16160,1.15780
fx_susdaud,2014-11-08,1.15800,1.15740,1.15800,1.15740
fx_susdaud,2014-11-09,1.15790,1.15320,1.15790,1.15690
fx_susdaud,2014-11-10,1.15650,1.15130,1.16140,1.15970
fx_susdaud,2014-11-11,1.15430,1.14670,1.15520,1.15030
fx_susdaud,2014-11-12,1.15010,1.14320,1.15380,1.14790
fx_susdaud,2014-11-13,1.14760,1.14090,1.15290,1.14790
fx_susdaud,2014-11-14,1.14760,1.14000,1.15610,1.14280
fx_susdaud,2014-11-15,1.14270,1.14190,1.14270,1.14190
fx_susdaud,2014-11-16,1.14180,1.13840,1.14190,1.14190
fx_susdaud,2014-11-17,1.14150,1.13670,1.14980,1.14930
fx_susdaud,2014-11-18,1.14910,1.14290,1.15140,1.14720
fx_susdaud,2014-11-19,1.14670,1.14650,1.16270,1.16250
fx_susdaud,2014-11-20,1.16210,1.15680,1.16710,1.16020
fx_susdaud,2014-11-21,1.15980,1.14630,1.16170,1.15260
fx_susdaud,2014-11-22,1.15260,1.15260,1.15290,1.15290
fx_susdaud,2014-11-23,1.15290,1.15140,1.15390,1.15350
fx_susdaud,2014-11-24,1.16050,1.15900,1.16230,1.16090
fx_susdaud,2014-11-25,1.16060,1.16020,1.17430,1.17180
fx_susdaud,2014-11-26,1.17170,1.16700,1.17900,1.17090
fx_susdaud,2014-11-27,1.17050,1.16040,1.17460,1.17320
fx_susdaud,2014-11-28,1.17290,1.17060,1.17820,1.17500
fx_susdaud,2014-11-29,1.17500,1.17450,1.17500,1.17450
fx_susdaud,2014-11-30,1.17490,1.17490,1.18280,1.17960
fx_susdaud,2014-12-01,1.17920,1.17160,1.18760,1.17720
fx_susdaud,2014-12-02,1.17690,1.17040,1.18560,1.18370
fx_susdaud,2014-12-03,1.18340,1.18120,1.19230,1.19220
fx_susdaud,2014-12-04,1.19170,1.18620,1.19650,1.19310
fx_susdaud,2014-12-05,1.19280,1.19120,1.20240,1.20060
fx_susdaud,2014-12-06,1.20060,1.20060,1.20210,1.20210
fx_susdaud,2014-12-07,1.20490,1.20220,1.20580,1.20520
fx_susdaud,2014-12-08,1.20500,1.20070,1.21040,1.20480
fx_susdaud,2014-12-09,1.20450,1.19460,1.21560,1.20580
fx_susdaud,2014-12-10,1.20560,1.19790,1.20980,1.20200
fx_susdaud,2014-12-11,1.20180,1.19390,1.21590,1.20960
fx_susdaud,2014-12-12,1.20940,1.20480,1.21530,1.21200
fx_susdaud,2014-12-13,1.21240,1.21150,1.21240,1.21240
fx_susdaud,2014-12-14,1.21280,1.21090,1.21470,1.21170
fx_susdaud,2014-12-15,1.21140,1.20900,1.21910,1.21780
fx_susdaud,2014-12-16,1.21730,1.20840,1.21930,1.21660
fx_susdaud,2014-12-17,1.21630,1.21380,1.23320,1.22950
fx_susdaud,2014-12-18,1.22920,1.21880,1.23170,1.22340
fx_susdaud,2014-12-19,1.22290,1.22030,1.23100,1.22640
fx_susdaud,2014-12-20,1.22730,1.22630,1.22760,1.22730
fx_susdaud,2014-12-21,1.22930,1.22360,1.22930,1.22880
fx_susdaud,2014-12-22,1.22830,1.22330,1.23110,1.23110
fx_susdaud,2014-12-23,1.23080,1.22760,1.23610,1.23290
fx_susdaud,2014-12-24,1.23300,1.23060,1.23380,1.23170
fx_susdaud,2014-12-25,1.23160,1.22930,1.23350,1.23140
fx_susdaud,2014-12-26,1.23130,1.22920,1.23310,1.23090
fx_susdaud,2014-12-27,1.23090,1.23090,1.23130,1.23130
fx_susdaud,2014-12-30,1.23020,1.21850,1.23100,1.22210
fx_susdaud,2014-12-31,1.22180,1.21670,1.22560,1.22250
fx_susdaud,2015-01-01,1.22370,1.22150,1.22490,1.22350
fx_susdaud,2015-01-02,1.22320,1.22140,1.23760,1.23520
fx_susdaud,2015-01-03,1.23580,1.23520,1.23590,1.23560
fx_susdaud,2015-01-04,1.23740,1.23510,1.23940,1.23790
fx_susdaud,2015-01-05,1.23800,1.23310,1.24410,1.23670
fx_susdaud,2015-01-06,1.23640,1.22550,1.23940,1.23860
fx_susdaud,2015-01-07,1.23820,1.23570,1.24440,1.23800
fx_susdaud,2015-01-08,1.23770,1.22940,1.23860,1.23250
fx_susdaud,2015-01-09,1.23210,1.21790,1.23320,1.21880
fx_susdaud,2015-01-10,1.21880,1.21730,1.21880,1.21860
fx_susdaud,2015-01-11,1.21810,1.21480,1.21890,1.21650
fx_susdaud,2015-01-12,1.21610,1.21110,1.22950,1.22640
fx_susdaud,2015-01-13,1.22610,1.21940,1.23010,1.22440
fx_susdaud,2015-01-14,1.22410,1.22080,1.23910,1.22570
fx_susdaud,2015-01-15,1.22540,1.20520,1.22930,1.22050
fx_susdaud,2015-01-16,1.22020,1.21080,1.22390,1.21410
fx_susdaud,2015-01-17,1.21380,1.21350,1.21490,1.21490
fx_susdaud,2015-01-18,1.21510,1.21440,1.21730,1.21590
fx_susdaud,2015-01-19,1.21560,1.21290,1.21990,1.21950
fx_susdaud,2015-01-20,1.21930,1.21660,1.22530,1.22480
fx_susdaud,2015-01-21,1.22450,1.21430,1.23770,1.23580
